timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1661539500,Aug 26 2022 - 6:45pm,complete,N/A,Lazio,Inter Milan,Michael Fabbri,3,3.00,3.00,1.75,1.55,3,1,4,1,1,0,"40,75,86","51",2,4,2,0,1,0,0,2,0,1,11,18,7,9,4,9,5,12,48,52,1.73,2.31,1.52,2.34,3.00,100,100,100,0,0,0,100,100,100,11.00,6.00,3.20,3.30,2.06,1.19,1.67,2.25,4.50,1.57,2.25,Stadio Olimpico (Roma)
1661617800,Aug 27 2022 - 4:30pm,complete,N/A,Cremonese,Torino,Paolo Valeri,3,0.00,3.00,0.27,1.25,1,2,3,1,0,1,"80","17,65",3,3,0,0,3,0,0,0,0,3,17,15,7,6,10,9,9,21,53,47,0.00,1.43,2.00,1.74,1.50,50,50,50,0,0,0,50,50,50,7.00,2.00,3.35,3.50,2.16,1.32,1.80,3.40,6.50,1.70,2.05,Stadio Giovanni Zini (Cremona)
1661617800,Aug 27 2022 - 4:30pm,complete,N/A,Juventus,Roma,Massimiliano Irrati,3,3.00,3.00,2.25,1.83,1,1,2,1,1,0,"2","69",4,5,2,0,2,0,1,1,1,1,16,9,5,5,11,4,16,7,57,43,1.57,2.07,1.77,1.14,2.00,0,50,50,0,0,50,100,0,50,5.00,3.00,2.19,3.40,3.35,1.33,1.84,3.50,7.00,1.75,2.00,Allianz Stadium (Torino)
1661625900,Aug 27 2022 - 6:45pm,complete,70430,AC Milan,Bologna,Gianluca Manganiello,3,3.00,0.00,2.27,1.00,2,0,2,1,1,0,"21,58","",5,1,2,0,1,0,0,2,0,1,21,9,9,0,12,9,13,9,48,52,1.74,1.04,2.27,0.74,4.50,100,100,100,50,50,50,100,100,100,7.00,7.00,1.37,5.25,8.00,1.19,1.53,2.43,4.50,1.91,1.91,Stadio Giuseppe Meazza (Milano)
1661625900,Aug 27 2022 - 6:45pm,complete,N/A,Spezia,Sassuolo,Francesco Cosso,3,3.00,0.00,1.09,0.83,2,2,4,3,2,1,"30,45'4","27,50",2,6,1,1,1,0,0,2,1,0,10,23,3,9,7,14,17,10,42,58,1.17,2.28,1.07,2.51,2.00,0,50,50,0,0,50,100,0,50,8.00,5.00,3.00,3.55,2.30,1.20,1.60,2.28,4.50,1.50,2.50,Stadio Alberto Picco (La Spezia)
1661704200,Aug 28 2022 - 4:30pm,complete,16106,Hellas Verona,Atalanta,Alessandro Prontera,3,0.00,3.00,1.08,2.00,0,1,1,0,0,0,"","50",7,6,3,0,3,0,0,3,2,1,15,16,0,8,15,8,15,7,49,51,0.91,1.25,1.37,1.80,4.50,50,100,50,50,50,50,100,50,100,6.00,8.00,3.65,3.75,1.85,1.20,1.57,2.65,4.75,1.62,2.20,Stadio Marc'Antonio Bentegodi (Verona)
1661704200,Aug 28 2022 - 4:30pm,complete,N/A,Salernitana,Sampdoria,Davide Massa,3,0.00,0.00,1.09,0.73,4,0,4,2,2,0,"7,16,50,76","",6,3,2,0,2,0,1,1,1,1,13,18,8,7,5,11,19,14,45,55,1.46,0.00,1.64,1.91,0.50,0,0,0,0,0,0,50,0,0,4.00,3.00,2.35,3.05,3.15,1.30,1.90,3.30,6.50,1.70,2.05,Stadio Arechi (Salerno)
1661712300,Aug 28 2022 - 6:45pm,complete,32000,Fiorentina,Napoli,Livio Marinelli,3,3.00,3.00,1.36,2.58,0,0,0,0,0,0,"","",2,3,2,0,3,0,0,2,1,2,11,14,6,4,5,10,12,14,49,51,3.06,2.71,1.38,1.46,6.00,100,100,100,100,100,100,100,100,100,19.00,2.00,2.50,3.40,2.60,1.22,1.70,2.80,5.00,1.57,2.25,Stadio Artemio Franchi (Firenze)
1661712300,Aug 28 2022 - 6:45pm,complete,23941,Lecce,Empoli,Alberto Santoro,3,0.00,0.00,1.09,1.00,1,1,2,2,1,1,"40","22",3,5,1,0,2,0,1,0,1,1,17,11,6,5,11,6,10,5,40,60,1.21,2.01,1.87,1.23,2.00,50,50,50,0,0,0,100,50,50,10.00,5.00,2.35,3.35,2.85,1.25,1.70,2.90,5.50,1.62,2.20,Stadio Comunale Via del Mare (Lecce)
1661877000,Aug 30 2022 - 4:30pm,complete,18053,Sassuolo,AC Milan,Giovanni Ayroldi,4,3.00,1.00,1.27,1.45,0,0,0,0,0,0,"","",3,8,5,0,2,0,0,5,2,0,8,11,3,3,5,8,14,13,38,62,1.42,2.23,0.96,1.32,1.50,50,50,0,0,0,0,100,0,50,11.00,8.00,5.25,4.20,1.58,1.18,1.50,2.30,4.00,1.57,2.25,MAPEI Stadium - Città del Tricolore (Reggio nell'Emilia)
