timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1667228400,Oct 31 2022 - 3:00pm,complete,N/A,Al Ittihad,El Geish,N/A,3,3.00,1.00,1.86,0.43,3,1,4,1,0,1,"68,79,90","25",7,5,0,0,1,0,0,0,0,1,26,6,9,4,17,2,7,10,62,38,1.15,1.34,2.91,0.94,1.00,0,50,0,0,0,0,50,0,50,7.00,5.00,2.35,2.70,3.30,1.50,2.38,4.50,8.60,2.00,1.75,Alexandria Stadium (Al-Iskandarîah (Alexandria))
1667235600,Oct 31 2022 - 5:00pm,complete,N/A,Al Mokawloon,Pharco,N/A,3,1.00,1.00,2.00,1.00,0,0,0,0,0,0,"","",5,5,1,0,0,0,1,0,0,0,13,6,4,2,9,4,12,7,57,43,1.70,1.36,1.63,0.75,2.00,100,100,0,0,0,0,50,50,100,11.00,4.00,2.15,2.65,3.88,1.57,2.69,4.90,9.80,2.10,1.68,Arab Contractors Stadium (Osman Ahmed Osman Stadium) (al-Qāhirah (Cairo))
1667314800,Nov 01 2022 - 3:00pm,complete,N/A,Haras El Hodood,Smouha SC,N/A,3,0.00,0.00,1.33,1.17,0,0,0,0,0,0,"","",2,3,2,0,1,0,2,0,1,0,5,9,4,2,1,7,10,16,42,58,0.68,1.44,0.85,1.05,2.00,0,100,0,0,0,0,0,100,100,10.00,7.00,2.75,2.90,2.50,1.38,2.10,3.80,7.00,1.90,1.83,Haras El Hodoud Stadium (Al-Iskandarîah (Alexandria))
1667322000,Nov 01 2022 - 5:00pm,complete,N/A,National Bank of Egypt,Ceramica Cleopatra,N/A,3,1.00,3.00,1.33,1.20,3,1,4,2,2,0,"2,26,56","65",5,9,3,0,1,0,1,2,0,1,12,12,8,5,4,7,18,13,46,54,1.34,1.70,1.63,1.54,2.50,50,100,50,0,0,50,100,0,100,8.00,3.00,2.60,2.70,2.90,1.41,2.25,4.20,9.25,1.80,1.95,Cairo International Stadium (al-Qāhirah (Cairo))
1667401200,Nov 02 2022 - 3:00pm,complete,N/A,El Daklyeh FC,Al Ahly,Amin Omar,3,1.00,3.00,0.86,2.67,1,4,5,3,1,2,"13","2,6,47,53",2,9,0,0,0,0,0,0,0,0,6,15,4,8,2,7,9,8,46,54,1.37,2.60,1.01,1.98,0.50,0,0,0,0,0,0,0,0,50,15.00,5.00,6.50,3.20,1.57,1.33,2.15,3.74,7.50,2.02,1.76,New Suez Stadium (as-Suways (Suez))
1667408400,Nov 02 2022 - 5:00pm,complete,N/A,ENPPI,Zamalek,Mahmoud Al Banna,4,1.00,3.00,0.67,1.71,1,1,2,1,0,1,"84","45",8,10,3,0,1,0,2,1,0,1,7,12,3,4,4,8,11,8,46,54,0.93,1.69,0.97,1.47,2.00,50,100,0,0,0,0,100,0,100,9.00,6.00,4.75,3.35,1.70,1.30,2.07,3.74,7.50,2.25,1.61,Arab Contractors Stadium (Osman Ahmed Osman Stadium) (al-Qāhirah (Cairo))
1669215600,Nov 23 2022 - 3:00pm,complete,N/A,Pharco,Ismaily SC,N/A,4,3.00,0.00,1.00,0.83,1,1,2,0,0,0,"48","79",0,7,2,0,1,0,0,2,1,0,8,13,3,5,5,8,14,13,50,50,1.45,1.52,0.93,1.67,2.00,50,50,50,0,0,0,50,50,100,8.00,4.00,2.80,2.75,2.70,1.60,2.94,5.40,12.50,2.19,1.60,Alexandria Stadium (Al-Iskandarîah (Alexandria))
1669215600,Nov 23 2022 - 3:00pm,complete,N/A,Coca-Cola,Aswan FC,N/A,4,1.00,0.00,1.86,1.00,2,1,3,1,0,1,"47,90'3","44",4,1,3,0,5,0,1,2,1,4,12,5,5,2,7,3,7,20,50,50,1.91,0.97,1.57,0.68,0.50,0,0,0,0,0,0,50,0,0,13.00,4.00,1.36,4.10,9.50,1.41,2.25,4.12,7.80,3.20,1.30,WE Al-Ahly Stadium (al-Qāhirah (Cairo))
1669215600,Nov 23 2022 - 3:00pm,complete,N/A,Pyramids FC,National Bank of Egypt,Ibrahim Nour El Din,4,1.00,1.00,2.67,0.57,2,0,2,0,0,0,"73,75","",1,8,0,0,2,1,0,0,1,2,14,10,11,4,3,6,10,16,55,45,0.80,1.07,1.95,1.16,1.00,50,50,0,0,0,50,50,0,0,6.00,4.00,1.44,3.90,7.00,1.31,2.05,3.48,6.65,2.17,1.61,30 June Air Defence Stadium (al-Qāhirah (Cairo))
1669812300,Nov 30 2022 - 12:45pm,complete,N/A,Haras El Hodood,Pyramids FC,N/A,5,0.50,1.00,1.33,1.14,0,1,1,0,0,0,"","54",0,4,1,0,3,0,0,1,2,1,5,8,0,5,5,3,9,9,50,50,0.76,2.19,0.75,1.36,1.50,50,75,0,0,0,0,50,25,75,12.00,4.50,5.50,3.45,1.60,1.33,2.06,3.56,6.80,2.02,1.71,Haras El Hodoud Stadium (Al-Iskandarîah (Alexandria))
1669812300,Nov 30 2022 - 12:45pm,complete,N/A,National Bank of Egypt,ENPPI,N/A,5,2.00,0.00,1.33,1.00,2,3,5,3,0,3,"87,90'8","2,5,26",6,2,2,2,2,0,1,3,1,1,19,11,8,8,11,3,9,14,50,50,1.48,0.90,2.34,1.50,2.75,75,100,50,25,0,50,75,50,100,5.50,4.50,2.25,2.63,3.60,1.48,2.60,4.75,10.50,2.00,1.75,Cairo International Stadium (al-Qāhirah (Cairo))
1669827600,Nov 30 2022 - 5:00pm,complete,N/A,Al Ittihad,Ghazl El Mehalla,Ahmed Ghandour,5,3.00,2.00,1.86,1.33,0,2,2,2,0,2,"","31,40",5,2,0,0,1,0,0,0,1,0,15,7,5,4,10,3,11,6,50,50,2.03,1.33,1.86,0.95,2.25,50,75,25,25,0,0,50,50,100,8.50,2.00,2.55,2.60,3.10,1.38,2.25,4.50,9.00,2.12,1.66,Alexandria Stadium (Al-Iskandarîah (Alexandria))
1669898700,Dec 01 2022 - 12:45pm,complete,N/A,Aswan FC,Pharco,Ibrahim Nour El Din,5,0.00,1.00,1.80,1.00,1,0,1,1,1,0,"31","",9,5,1,0,0,0,1,0,0,0,8,13,5,2,3,11,13,5,50,50,1.40,1.06,1.28,1.41,1.00,25,25,0,0,0,0,25,0,75,9.00,2.00,3.01,2.85,2.55,1.67,2.95,5.75,13.00,2.50,1.50,Aswan Stadium (Aswan)
1669898700,Dec 01 2022 - 12:45pm,complete,N/A,El Daklyeh FC,Coca-Cola,N/A,5,0.50,3.00,0.86,2.33,0,1,1,0,0,0,"","87",2,6,0,2,2,1,1,1,1,2,3,13,2,3,1,10,7,14,50,50,1.19,1.55,0.52,1.71,2.25,25,75,25,25,25,25,25,75,75,8.00,2.50,3.40,3.10,2.15,1.52,2.15,3.80,7.75,1.95,1.73,Petrosport Stadium (al-Qāhirah (Cairo))
1669914000,Dec 01 2022 - 5:00pm,complete,N/A,Zamalek,Al Masry,Amin Omar,5,3.00,1.00,2.33,1.50,2,2,4,2,1,1,"20,56","36,60",4,5,2,0,3,0,0,2,0,3,9,12,7,8,2,4,13,14,50,50,1.08,1.90,1.40,1.63,1.00,0,50,0,0,0,0,0,50,50,9.00,1.00,1.75,3.40,4.00,1.30,1.99,3.34,6.45,1.86,1.84,Borg El Arab Stadium (Al-Iskandarîah (Alexandria))
1669985100,Dec 02 2022 - 12:45pm,complete,N/A,Ismaily SC,Smouha SC,Mohamed Hanafi,5,0.00,0.50,0.33,1.17,0,1,1,1,0,1,"","25",5,3,3,0,3,1,0,3,0,4,7,6,3,2,4,4,-1,-1,50,50,0.54,1.24,1.25,0.81,1.00,0,25,0,0,0,0,0,25,75,13.50,3.50,2.49,2.92,3.02,1.41,2.30,4.15,8.20,1.94,1.77,Ismaïlia Stadium (Ismailia)
1669985100,Dec 02 2022 - 12:45pm,complete,N/A,Al Mokawloon,Ceramica Cleopatra,N/A,5,1.00,1.50,2.00,1.20,2,1,3,1,1,0,"37,84","66",6,8,0,0,4,1,0,0,2,3,12,9,5,4,7,5,17,13,50,50,1.66,1.62,1.45,1.33,2.25,50,75,50,25,0,50,50,50,75,12.00,2.00,2.68,2.71,2.95,1.44,2.30,4.30,8.50,1.98,1.74,Arab Contractors Stadium (Osman Ahmed Osman Stadium) (al-Qāhirah (Cairo))
1670000400,Dec 02 2022 - 5:00pm,complete,N/A,Al Ahly,El Geish,Mohamed Adel,5,3.00,0.50,2.33,0.43,2,1,3,1,0,1,"53,66","25",3,4,1,0,2,0,1,0,0,2,10,8,4,4,6,4,17,9,50,50,1.58,1.14,1.32,1.08,1.50,25,25,25,25,0,0,75,25,25,9.50,3.00,1.45,3.95,7.60,1.42,2.30,4.40,8.00,2.00,1.70,WE Al-Ahly Stadium (al-Qāhirah (Cairo))
1670330700,Dec 06 2022 - 12:45pm,complete,N/A,Al Masry,National Bank of Egypt,N/A,6,1.50,0.50,1.33,0.57,0,0,0,0,0,0,"","",2,3,2,0,3,0,0,2,0,3,6,3,2,2,4,1,10,13,54,46,1.74,1.12,0.00,0.00,2.25,25,100,25,0,0,50,50,50,75,13.50,4.50,1.90,3.36,4.14,1.37,1.93,3.90,8.50,1.96,1.82,New Suez Stadium (as-Suways (Suez))
